plot,x1,y1,x2,y2,tag,sp,dbh,x3,y3
Demo_plot1,10,3,2,2,A80053,野牡丹,8.9,8,270
Demo_plot1,10,3,2,2,A12700,小葉樹杞,1.3,433,346
Demo_plot1,10,3,2,2,Y25339,臺灣石櫟,20,,
Demo_plot1,10,3,2,2,Y25340,臺灣石櫟,10,,
Demo_plot1,10,3,2,2,Y25341,臺灣石櫟,28,,
Demo_plot1,10,3,2,1,A14789,革葉冬青,2.9,434,295
Demo_plot1,10,3,2,1,A41493,奧氏虎皮楠,2.9,366,144
Demo_plot1,10,3,2,1,A01043,野牡丹,3.6,391,42
Demo_plot1,10,3,2,1,A65432,長尾栲,1.7,200,151
Demo_plot1,10,3,2,1,A21729,紅楠,13.5,372,279
Demo_plot1,10,3,2,1,A70002,革葉冬青,4.3,25,201
Demo_plot1,10,3,2,1,A33839,銳脈木薑子,8.6,263,113
Demo_plot1,10,3,2,1,A08660,銳脈木薑子,4.8,292,234
Demo_plot1,10,3,2,1,A51330,革葉冬青,6.2,181,254
Demo_plot1,10,3,2,1,A81583,狗骨仔,11.2,14,55
Demo_plot1,10,3,2,1,A68914,野牡丹,2,375,263
Demo_plot1,10,3,2,1,A00069,烏心石,3.7,266,416
Demo_plot1,10,3,2,1,A12580,奧氏虎皮楠,5.9,480,263
Demo_plot1,10,3,2,1,A72400,杜英,1.1,350,367
Demo_plot1,10,3,2,1,A55273,九節木,1.6,301,376
Demo_plot1,10,3,2,1,A30842,九節木,2.4,490,317
Demo_plot2,0,2,1,1,A01300,革葉冬青,1.5,241,385
Demo_plot2,0,2,1,1,A34089,軟毛柿,1.3,8,291
Demo_plot2,0,2,1,1,A70388,銳脈木薑子,4.8,49,125
Demo_plot2,0,2,1,1,A27192,野牡丹,5,193,218
Demo_plot2,0,2,1,1,A41643,革葉冬青,2.3,157,200
Demo_plot2,0,2,1,1,A11449,錐果櫟,1.6,426,492
Demo_plot2,0,2,1,1,A25727,小葉樹杞,1.4,307,218
Demo_plot2,0,2,1,1,A96201,廣東瓊楠,3.1,279,178
Demo_plot2,0,2,1,1,A47140,野牡丹,2.6,400,241
Demo_plot2,0,2,1,1,A34127,白匏子,3.4,335,180
Demo_plot2,0,2,1,1,A49721,高士佛赤楠,2,252,334
Demo_plot2,0,2,1,1,A47428,銳脈木薑子,1.4,418,418
Demo_plot2,0,2,1,1,A28263,野牡丹,4.1,435,279
Demo_plot2,0,2,1,1,A51877,革葉冬青,1.5,364,337
Demo_plot2,0,2,1,1,A39817,銳脈木薑子,1.8,492,129
Demo_plot2,0,2,1,1,A72713,菱葉衛矛,1.2,26,75
Demo_plot2,0,2,1,1,A34140,野牡丹,1.6,446,430
Demo_plot2,10,3,1,1,Y25342,臺灣石櫟,20,,
Demo_plot2,10,3,1,1,Y25343,臺灣石櫟,10,,
Demo_plot2,10,3,1,1,Y25344,臺灣石櫟,28,,
Demo_plot2,0,2,1,2,A02505,烏心石舅,3.7,151,128
Demo_plot2,0,2,1,2,A75604,小葉樹杞,13.1,18,391
Demo_plot2,0,2,1,2,A12033,九節木,2.1,245,320
Demo_plot2,0,2,1,2,A51385,錐果櫟,2,334,106
Demo_plot2,0,2,1,2,A57044,小葉樹杞,1.9,437,136
Demo_plot2,0,2,1,2,A66193,長尾栲,4.2,50,110
Demo_plot2,0,2,1,2,A84683,長尾栲,15.1,121,250
Demo_plot2,0,2,1,2,A65948,九節木,4.6,222,78
Demo_plot2,0,2,1,2,A67433,銳脈木薑子,2.1,308,372
Demo_plot2,0,2,1,2,A65992,小葉樹杞,5.3,161,175
Demo_plot2,0,2,1,2,A94091,高士佛赤楠,19.2,470,359
Demo_plot2,0,2,1,2,A56575,軟毛柿,5,276,146
Demo_plot2,0,2,1,2,A40069,革葉冬青,3.4,294,241
Demo_plot2,0,2,1,2,A33675,山龍眼,10,364,392
Demo_plot2,0,2,1,2,A85689,革葉冬青,2.2,433,266
Demo_plot2,0,2,1,2,A95316,錐果櫟,4.3,385,72
Demo_plot2,0,2,1,2,A66742,革葉冬青,1.4,69,495
Demo_plot2,10,3,1,2,Y25345,臺灣石櫟,20,,
Demo_plot2,10,3,1,2,Y25346,臺灣石櫟,10,,
Demo_plot2,10,3,1,2,Y25347,臺灣石櫟,28,,
Demo_plot2,0,2,2,2,A17833,野牡丹,5.5,97,14
Demo_plot2,0,2,2,2,A96843,長尾栲,7.5,275,442
Demo_plot2,0,2,2,2,A60582,軟毛柿,3.5,128,25
Demo_plot2,0,2,2,2,A64460,白匏子,2,200,364
Demo_plot2,0,2,2,2,A00142,長尾栲,3,56,4
Demo_plot2,0,2,2,2,A06873,高士佛赤楠,1.7,211,121
Demo_plot2,0,2,2,2,A59514,野牡丹,3.5,360,489
Demo_plot2,0,2,2,2,A85729,南仁山新木薑子,1.1,437,385
Demo_plot2,0,2,2,2,A03673,南仁山新木薑子,1.4,395,122
Demo_plot2,0,2,2,2,A18883,大青,2.7,7,338
Demo_plot2,0,2,2,2,A28890,九節木,2.6,334,18
Demo_plot2,0,2,2,2,A31783,長尾栲,6.3,461,368
Demo_plot2,0,2,2,2,A94063,奧氏虎皮楠,2.3,334,376
Demo_plot2,0,2,2,2,A12206,小葉樹杞,12,139,84
Demo_plot2,0,2,2,2,A87196,革葉冬青,7.2,163,14
Demo_plot2,0,2,2,2,A51566,小葉樹杞,8.8,83,206
Demo_plot2,0,2,2,2,A72603,軟毛柿,4.3,50,75
Demo_plot2,10,3,2,2,Y25348,臺灣石櫟,20,,
Demo_plot2,10,3,2,2,Y25349,臺灣石櫟,10,,
Demo_plot2,10,3,2,2,Y25350,臺灣石櫟,28,,
Demo_plot2,0,2,2,1,A95243,奧氏虎皮楠,5,161,378
Demo_plot2,0,2,2,1,A47069,銳脈木薑子,1.6,272,84
Demo_plot2,0,2,2,1,A05726,金斗椆,1.9,150,198
Demo_plot2,0,2,2,1,A02166,山龍眼,1.8,83,266
Demo_plot2,0,2,2,1,A25249,金斗椆,1.2,127,128
Demo_plot2,0,2,2,1,A29722,革葉冬青,4.4,84,442
Demo_plot2,0,2,2,1,A14295,毛雞屎樹,4.6,11,437
Demo_plot2,0,2,2,1,A29270,九節木,1.8,74,48
Demo_plot2,0,2,2,1,A86422,南仁山新木薑子,1.3,320,402
Demo_plot2,0,2,2,1,A36234,南仁山新木薑子,1.8,200,110
Demo_plot2,0,2,2,1,A34469,革葉冬青,1.5,122,212
Demo_plot2,0,2,2,1,A63040,野牡丹,3,14,401
Demo_plot2,0,2,2,1,A12693,大青,4.4,44,5
Demo_plot2,0,2,2,1,A19078,小葉樹杞,3.6,144,149
Demo_plot2,0,2,2,1,A58301,南仁山新木薑子,7.7,441,153
Demo_plot2,0,2,2,1,A09350,松田冬青,1.9,222,27
Demo_plot2,0,2,2,1,A63576,南仁山新木薑子,2.5,55,190
Demo_plot2,10,3,2,1,Y25351,臺灣石櫟,20,,
Demo_plot2,10,3,2,1,Y25352,臺灣石櫟,10,,
Demo_plot2,10,3,2,1,Y25353,臺灣石櫟,28,,
Demo_plot3,,,,,A34647,九節木,1.3,26,429
Demo_plot3,,,,,A45042,長尾栲,1.4,460,301
Demo_plot3,,,,,A55028,廣東瓊楠,1.9,343,4
Demo_plot3,,,,,A16754,軟毛柿,3.2,5,136
Demo_plot3,,,,,A82400,革葉冬青,9.5,311,118
Demo_plot3,,,,,A59448,軟毛柿,5.5,234,460
Demo_plot3,,,,,A55226,廣東瓊楠,1.5,40,495
Demo_plot3,,,,,A73303,黑星櫻,4.7,429,433
Demo_plot3,,,,,A34435,狗骨仔,3.9,34,83
Demo_plot3,,,,,A43823,紅花八角,1.4,27,181
Demo_plot3,,,,,A72346,九節木,20.1,280,180
Demo_plot3,,,,,A90899,革葉冬青,1.9,458,218
Demo_plot3,,,,,A00132,高士佛赤楠,2.7,18,44
Demo_plot3,,,,,A84325,長尾栲,12.7,307,250
Demo_plot3,,,,,A07101,革葉冬青,12,492,252
Demo_plot3,,,,,A97781,革葉冬青,2.9,84,128
Demo_plot3,,,,,A00636,高士佛赤楠,8,314,366
Demo_plot3,,,,,A79684,革葉冬青,2.4,395,18
Demo_plot3,,,,,A17055,銳脈木薑子,2.2,113,446
Demo_plot3,,,,,A69089,野牡丹,1.9,178,78
Demo_plot3,,,,,A45598,黑星櫻,1.6,392,25
Demo_plot3,,,,,A90046,九節木,1,99,445
Demo_plot3,,,,,A30985,高士佛赤楠,4.7,218,197
Demo_plot3,,,,,A99542,革葉冬青,5.3,140,460
Demo_plot3,,,,,A30766,革葉冬青,4.4,302,445
Demo_plot3,,,,,A84334,九節木,1.4,435,245
Demo_plot3,,,,,Y25353,臺灣石櫟,20,,
Demo_plot3,,,,,Y25354,臺灣石櫟,10,,
Demo_plot3,,,,,Y25355,臺灣石櫟,28,,
Demo_plot4,,,,,A17836,長尾栲,12.4,14,383
Demo_plot4,,,,,A76723,烏來冬青,1.7,225,75
Demo_plot4,,,,,A47621,九節木,1.9,26,4
Demo_plot4,,,,,A59072,長尾栲,19.1,245,218
Demo_plot4,,,,,A80612,頷垂豆,3,472,32
Demo_plot4,,,,,A01458,革葉冬青,1.7,114,253
Demo_plot4,,,,,A42368,高士佛赤楠,3.3,168,94
Demo_plot4,,,,,A51868,小葉樹杞,4.2,436,146
Demo_plot4,,,,,A10816,軟毛柿,3,241,373
Demo_plot4,,,,,A34096,白匏子,2.5,301,87
Demo_plot4,,,,,A47402,長尾栲,12.6,63,293
Demo_plot4,,,,,A68696,長尾栲,1.2,392,465
Demo_plot4,,,,,A60781,高士佛赤楠,1.5,293,181
Demo_plot4,,,,,A23303,九節木,6.1,227,43
Demo_plot4,,,,,A23106,奧氏虎皮楠,3.1,42,25
Demo_plot4,,,,,A08556,九節木,2.6,426,350
Demo_plot4,,,,,A72446,長尾栲,1.2,234,218
Demo_plot4,,,,,A45949,紅花八角,1.5,121,252
Demo_plot4,,,,,A49128,長尾栲,3,400,311
Demo_plot4,,,,,A59608,南仁山新木薑子,3,292,376
Demo_plot4,,,,,A82816,九節木,2.2,232,14
Demo_plot4,,,,,A61649,銳脈木薑子,15.8,97,63
Demo_plot4,,,,,A88330,小葉樹杞,2.7,432,238
Demo_plot4,,,,,A23287,奧氏虎皮楠,1.8,90,376
Demo_plot4,,,,,A77203,長尾栲,3.8,59,126
Demo_plot4,,,,,A73062,革葉冬青,7.7,489,234
Demo_plot4,,,,,A33927,高士佛赤楠,1.8,227,14
Demo_plot4,,,,,A19805,小葉樟,5.6,69,329
Demo_plot4,,,,,A99093,奧氏虎皮楠,3.6,114,121
Demo_plot4,,,,,A57538,小葉樹杞,5.3,266,454
Demo_plot4,,,,,A12808,野牡丹,5.7,151,12
Demo_plot4,,,,,A64173,革葉冬青,4.5,50,122
Demo_plot4,,,,,A00641,革葉冬青,9,7,311
Demo_plot4,,,,,A20089,軟毛柿,2.1,279,146
Demo_plot4,,,,,A37138,長尾栲,1.4,201,94
Demo_plot4,,,,,A14374,江某,10.4,350,311
Demo_plot4,,,,,Y25356,臺灣石櫟,20,,
Demo_plot4,,,,,Y25357,臺灣石櫟,10,,
Demo_plot4,,,,,Y25358,臺灣石櫟,28,,
